quantity tons,country,status,application,thickness,width,material_ref,selling_price,purchased_month,purchased_year,delivered_month,delivered_year,item_type_PL,item_type_S,item_type_W
2.78,78,1,1.71,0.44,837.26,4496,15.83,3.0,2021.0,5.0,2021.0,0,0,1
2.02,32,1,2.25,0.39,679.62,190,17.15,3.0,2021.0,4.0,2021.0,0,0,1
1.02,78,1,1.71,0.56,837.26,4531,15.88,3.0,2021.0,5.0,2021.0,0,0,1
2.17,32,1,2.25,0.43,830.99,1117,16.97,3.0,2021.0,4.0,2021.0,0,0,1
4.3,78,1,1.71,0.57,837.26,4531,15.81,3.0,2021.0,5.0,2021.0,0,0,1
2.34,32,1,2.25,0.43,830.99,367,16.99,3.0,2021.0,4.0,2021.0,0,0,1
5.92,78,1,1.71,0.74,992.83,4531,15.71,3.0,2021.0,5.0,2021.0,0,0,1
2.58,32,1,2.25,0.43,830.99,201,16.97,3.0,2021.0,4.0,2021.0,0,0,1
2.59,78,1,1.71,0.38,856.03,4531,16.12,3.0,2021.0,5.0,2021.0,0,0,1
2.52,32,1,2.25,0.39,679.62,432,17.13,3.0,2021.0,4.0,2021.0,0,0,1
2.94,32,1,2.25,0.39,679.62,310,17.12,3.0,2021.0,4.0,2021.0,0,0,1
4.5,78,1,1.71,0.69,837.26,4629,15.89,3.0,2021.0,5.0,2021.0,0,0,1
2.42,32,1,2.25,0.39,830.99,434,17.05,3.0,2021.0,4.0,2021.0,0,0,1
0.63,78,1,1.71,0.57,837.26,4496,15.72,3.0,2021.0,5.0,2021.0,0,0,1
2.87,32,1,2.25,0.39,830.99,1116,17.08,3.0,2021.0,4.0,2021.0,0,0,1
2.57,78,1,1.71,0.66,837.26,4496,15.68,3.0,2021.0,5.0,2021.0,0,0,1
4.77,26,1,2.25,0.42,899.71,4532,16.86,3.0,2021.0,7.0,2021.0,0,0,1
2.4,32,1,2.25,0.39,830.99,306,17.07,3.0,2021.0,4.0,2021.0,0,0,1
2.05,78,1,1.71,0.57,837.26,4514,15.72,3.0,2021.0,5.0,2021.0,0,0,1
0.84,84,1,1.71,0.78,992.83,1384,15.68,3.0,2021.0,4.0,2021.0,0,0,1
2.41,32,1,2.25,0.39,679.62,366,17.13,3.0,2021.0,4.0,2021.0,0,0,1
2.0,78,1,1.71,0.45,867.27,4531,15.99,3.0,2021.0,5.0,2021.0,0,0,1
2.03,32,1,2.25,0.43,830.99,134,16.97,3.0,2021.0,4.0,2021.0,0,0,1
0.99,78,1,1.71,0.48,837.26,4531,15.92,3.0,2021.0,5.0,2021.0,0,0,1
2.33,32,1,2.25,0.39,679.62,372,17.16,3.0,2021.0,4.0,2021.0,0,0,1
4.3,78,1,1.71,0.48,679.62,4531,15.97,3.0,2021.0,5.0,2021.0,0,0,1
3.11,32,1,2.25,0.39,679.62,132,17.13,3.0,2021.0,4.0,2021.0,0,0,1
2.82,32,1,2.25,0.43,830.99,367,17.0,3.0,2021.0,4.0,2021.0,0,0,1
2.41,78,1,1.71,0.56,946.35,4531,15.88,3.0,2021.0,5.0,2021.0,0,0,1
1.55,32,1,2.25,0.43,830.99,201,17.0,3.0,2021.0,4.0,2021.0,0,0,1
4.48,78,1,1.71,0.69,992.83,4531,15.69,3.0,2021.0,5.0,2021.0,0,0,1
2.83,32,1,2.25,0.39,679.62,310,17.16,3.0,2021.0,4.0,2021.0,0,0,1
1.58,78,1,1.71,0.78,679.62,4531,15.72,3.0,2021.0,5.0,2021.0,0,0,1
2.96,32,1,2.25,0.39,830.99,434,17.06,3.0,2021.0,4.0,2021.0,0,0,1
2.56,32,1,2.25,0.39,830.99,306,17.06,3.0,2021.0,4.0,2021.0,0,0,1
2.86,32,1,2.25,0.39,679.62,366,17.15,3.0,2021.0,4.0,2021.0,0,0,1
1.55,32,1,2.25,0.39,679.62,132,17.14,3.0,2021.0,4.0,2021.0,0,0,1
4.43,32,1,2.25,0.39,705.0,2829,16.86,3.0,2021.0,4.0,2021.0,0,0,1
2.88,32,1,2.25,0.43,679.62,2806,17.04,3.0,2021.0,4.0,2021.0,0,0,1
4.6,32,1,2.25,0.43,830.99,2793,16.97,3.0,2021.0,4.0,2021.0,0,0,1
7.06,32,1,2.25,0.43,830.99,2189,17.0,3.0,2021.0,4.0,2021.0,0,0,1
4.55,32,1,2.25,0.39,830.99,2128,17.05,3.0,2021.0,4.0,2021.0,0,0,1
2.87,78,1,1.71,0.44,679.62,4496,15.87,3.0,2021.0,5.0,2021.0,0,0,1
6.21,32,1,2.25,0.43,830.99,2798,16.98,3.0,2021.0,4.0,2021.0,0,0,1
5.59,32,1,2.25,0.43,830.99,291,16.99,3.0,2021.0,4.0,2021.0,0,0,1
3.22,32,1,2.25,0.43,830.99,2807,16.99,3.0,2021.0,4.0,2021.0,0,0,1
4.55,78,1,1.71,0.45,679.62,4531,16.04,3.0,2021.0,5.0,2021.0,0,0,1
2.5,32,1,2.25,0.43,830.99,2834,17.0,3.0,2021.0,4.0,2021.0,0,0,1
2.7,78,1,1.71,0.45,837.26,4531,15.98,3.0,2021.0,5.0,2021.0,0,0,1
3.1,32,1,2.25,0.39,679.62,2799,17.13,3.0,2021.0,4.0,2021.0,0,0,1
2.13,78,1,1.71,0.45,837.26,4531,16.1,3.0,2021.0,5.0,2021.0,0,0,1
3.07,32,1,2.25,0.43,830.99,380,16.98,3.0,2021.0,4.0,2021.0,0,0,1
6.63,78,1,2.25,0.57,836.0,9199,15.82,3.0,2021.0,4.0,2021.0,0,0,1
5.91,32,1,2.25,0.43,830.99,298,16.96,3.0,2021.0,4.0,2021.0,0,0,1
6.6,78,1,2.25,0.62,992.83,9199,15.75,3.0,2021.0,4.0,2021.0,0,0,1
4.83,32,1,2.25,0.43,818.46,2794,15.24,3.0,2021.0,1.0,2021.0,0,1,0
2.94,32,1,2.25,0.39,679.62,362,17.15,3.0,2021.0,4.0,2021.0,0,0,1
4.72,32,1,2.25,0.43,818.46,2187,15.26,3.0,2021.0,1.0,2021.0,0,1,0
4.79,32,1,2.25,0.43,818.46,2827,15.28,3.0,2021.0,1.0,2021.0,0,1,0
2.09,32,1,2.25,0.43,830.99,303,16.99,3.0,2021.0,4.0,2021.0,0,0,1
6.1,32,1,2.4,0.74,905.94,6728,14.26,3.0,2021.0,1.0,2021.0,0,0,1
6.67,32,1,2.25,0.39,830.99,435,17.07,3.0,2021.0,4.0,2021.0,0,0,1
6.15,32,1,2.25,0.39,830.99,2130,17.07,3.0,2021.0,4.0,2021.0,0,0,1
2.47,32,1,2.25,0.39,830.99,393,17.07,3.0,2021.0,4.0,2021.0,0,0,1
1.51,32,1,2.25,0.39,679.62,288,17.15,3.0,2021.0,4.0,2021.0,0,0,1
4.11,78,1,1.71,0.51,679.62,4531,15.92,3.0,2021.0,5.0,2021.0,0,0,1
4.53,32,1,2.25,0.39,679.62,372,17.15,3.0,2021.0,4.0,2021.0,0,0,1
5.76,32,1,2.25,0.39,679.62,432,17.16,3.0,2021.0,4.0,2021.0,0,0,1
2.27,78,1,1.71,0.56,679.62,4531,15.87,3.0,2021.0,5.0,2021.0,0,0,1
1.15,78,1,1.71,0.56,868.52,4531,15.88,3.0,2021.0,5.0,2021.0,0,0,1
3.05,32,1,2.25,0.39,830.99,1122,17.05,3.0,2021.0,4.0,2021.0,0,0,1
4.55,32,1,2.25,0.39,830.99,290,17.05,3.0,2021.0,4.0,2021.0,0,0,1
1.71,32,1,2.25,0.39,830.99,2764,17.06,3.0,2021.0,4.0,2021.0,0,0,1
3.05,32,1,2.25,0.39,830.99,186,17.06,3.0,2021.0,4.0,2021.0,0,0,1
0.86,78,1,1.71,0.57,837.26,8209,15.9,3.0,2021.0,5.0,2021.0,0,0,1
3.11,32,1,2.25,0.39,830.99,199,17.07,3.0,2021.0,4.0,2021.0,0,0,1
2.51,32,1,2.25,0.39,830.99,308,17.08,3.0,2021.0,4.0,2021.0,0,0,1
4.27,32,1,2.25,0.39,830.99,1527,17.07,3.0,2021.0,4.0,2021.0,0,0,1
4.55,32,1,2.25,0.39,679.62,305,17.14,3.0,2021.0,4.0,2021.0,0,0,1
5.2,32,1,2.25,0.39,679.62,310,17.13,3.0,2021.0,4.0,2021.0,0,0,1
5.63,78,1,1.71,0.62,849.77,8209,15.78,3.0,2021.0,5.0,2021.0,0,0,1
2.85,32,1,2.25,0.43,830.99,1117,17.0,3.0,2021.0,4.0,2021.0,0,0,1
1.98,78,1,1.71,0.62,837.26,8209,15.82,3.0,2021.0,5.0,2021.0,0,0,1
4.59,32,1,2.25,0.39,679.62,1115,17.16,3.0,2021.0,4.0,2021.0,0,0,1
6.92,32,1,2.25,0.43,830.99,192,17.0,3.0,2021.0,4.0,2021.0,0,0,1
4.52,32,1,2.25,0.39,830.99,191,17.07,3.0,2021.0,4.0,2021.0,0,0,1
3.03,32,1,2.25,0.39,679.62,432,17.14,3.0,2021.0,4.0,2021.0,0,0,1
4.62,32,1,2.25,0.43,830.99,201,16.96,3.0,2021.0,4.0,2021.0,0,0,1
6.83,32,1,2.25,0.43,830.99,134,16.96,3.0,2021.0,4.0,2021.0,0,0,1
2.83,32,1,2.25,0.39,830.99,2034,17.05,3.0,2021.0,4.0,2021.0,0,0,1
5.32,32,1,2.25,0.43,679.62,287,17.07,3.0,2021.0,4.0,2021.0,0,0,1
4.42,32,1,2.25,0.43,679.62,2188,17.04,3.0,2021.0,4.0,2021.0,0,0,1
5.44,32,1,2.25,0.43,679.62,375,17.04,3.0,2021.0,4.0,2021.0,0,0,1
4.31,32,1,2.25,0.43,679.62,5395,17.06,3.0,2021.0,4.0,2021.0,0,0,1
4.31,32,1,2.25,0.43,679.62,363,17.04,3.0,2021.0,4.0,2021.0,0,0,1
4.64,32,1,2.25,0.43,679.62,133,17.07,3.0,2021.0,4.0,2021.0,0,0,1
4.37,32,1,2.25,0.39,830.99,208,17.07,3.0,2021.0,4.0,2021.0,0,0,1
5.85,32,1,2.25,0.43,679.62,207,17.06,3.0,2021.0,4.0,2021.0,0,0,1
4.42,32,1,2.25,0.39,679.62,366,17.15,3.0,2021.0,4.0,2021.0,0,0,1
4.45,32,1,2.25,0.43,830.99,373,16.97,3.0,2021.0,4.0,2021.0,0,0,1
4.33,32,1,2.25,0.43,830.99,187,16.98,3.0,2021.0,4.0,2021.0,0,0,1
6.96,32,1,2.25,0.39,679.62,190,17.16,3.0,2021.0,4.0,2021.0,0,0,1
1.84,32,1,2.25,0.39,830.99,339,17.08,3.0,2021.0,4.0,2021.0,0,0,1
6.95,32,1,2.25,0.43,830.99,209,16.99,3.0,2021.0,4.0,2021.0,0,0,1
4.28,32,1,2.25,0.43,830.99,213,16.97,3.0,2021.0,4.0,2021.0,0,0,1
4.4,32,1,2.25,0.39,679.62,196,17.15,3.0,2021.0,4.0,2021.0,0,0,1
5.11,32,1,2.25,0.43,830.99,135,16.99,3.0,2021.0,4.0,2021.0,0,0,1
2.32,32,1,2.25,0.39,830.99,2801,17.06,3.0,2021.0,4.0,2021.0,0,0,1
6.43,32,1,2.25,0.39,830.99,2795,17.05,3.0,2021.0,4.0,2021.0,0,0,1
2.85,32,1,2.25,0.43,830.99,4079,16.99,3.0,2021.0,4.0,2021.0,0,0,1
4.22,32,1,2.25,0.39,830.99,4078,17.07,3.0,2021.0,4.0,2021.0,0,0,1
1.26,78,1,1.71,0.69,679.62,4531,15.64,3.0,2021.0,5.0,2021.0,0,0,1
2.4,78,1,1.71,0.36,551.64,4636,16.34,3.0,2021.0,5.0,2021.0,0,0,1
2.65,78,1,1.71,0.69,679.62,8131,15.76,3.0,2021.0,5.0,2021.0,0,0,1
2.12,78,1,1.71,0.69,992.83,8131,15.72,3.0,2021.0,5.0,2021.0,0,0,1
2.25,78,1,1.71,0.38,887.24,4646,16.46,3.0,2021.0,5.0,2021.0,0,0,1
2.03,78,1,1.71,0.51,782.66,4614,15.88,3.0,2021.0,5.0,2021.0,0,0,1
4.78,78,1,1.71,0.62,837.26,7970,15.78,3.0,2021.0,5.0,2021.0,0,0,1
4.78,78,1,1.71,0.69,837.26,7970,15.68,3.0,2021.0,5.0,2021.0,0,0,1
1.43,78,1,1.71,0.34,843.52,4531,16.3,3.0,2021.0,5.0,2021.0,0,0,1
2.69,78,1,1.71,0.42,843.52,4531,16.06,3.0,2021.0,5.0,2021.0,0,0,1
0.61,78,1,1.71,0.42,679.62,4496,15.89,3.0,2021.0,5.0,2021.0,0,0,1
2.88,78,1,1.71,0.42,992.83,4525,15.95,3.0,2021.0,5.0,2021.0,0,0,1
0.46,78,1,1.71,0.56,992.83,4531,15.87,3.0,2021.0,5.0,2021.0,0,0,1
4.56,78,1,1.71,0.48,837.26,4496,15.72,3.0,2021.0,5.0,2021.0,0,0,1
2.36,78,1,1.71,0.38,679.62,4531,16.13,3.0,2021.0,5.0,2021.0,0,0,1
1.97,78,1,1.71,0.78,837.26,8306,15.91,3.0,2021.0,5.0,2021.0,0,0,1
0.8,78,1,1.71,0.69,868.52,4545,15.78,3.0,2021.0,5.0,2021.0,0,0,1
2.89,78,1,1.71,0.51,695.49,4531,15.91,3.0,2021.0,5.0,2021.0,0,0,1
4.48,78,1,1.71,0.51,837.26,7970,15.91,3.0,2021.0,5.0,2021.0,0,0,1
2.17,78,1,1.71,0.69,992.83,7970,15.72,3.0,2021.0,5.0,2021.0,0,0,1
1.02,78,1,1.71,0.68,837.26,4496,15.67,3.0,2021.0,5.0,2021.0,0,0,1
2.29,78,1,1.71,0.51,837.26,4525,15.8,3.0,2021.0,5.0,2021.0,0,0,1
2.53,78,1,1.71,0.51,679.62,4531,15.89,3.0,2021.0,5.0,2021.0,0,0,1
2.65,78,1,1.71,0.51,837.26,4531,15.88,3.0,2021.0,5.0,2021.0,0,0,1
0.99,78,1,1.71,0.51,992.83,4531,15.85,3.0,2021.0,5.0,2021.0,0,0,1
2.54,78,1,1.71,0.34,679.62,4496,16.05,3.0,2021.0,5.0,2021.0,0,0,1
2.85,78,1,1.71,0.38,837.26,4525,15.99,3.0,2021.0,5.0,2021.0,0,0,1
0.77,78,1,1.71,0.45,837.26,4525,15.93,3.0,2021.0,5.0,2021.0,0,0,1
3.0,78,1,1.71,0.45,912.16,4525,15.94,3.0,2021.0,5.0,2021.0,0,0,1
2.95,78,1,1.71,0.34,679.62,4531,16.33,3.0,2021.0,5.0,2021.0,0,0,1
1.72,78,1,1.71,0.34,837.26,4531,16.26,3.0,2021.0,5.0,2021.0,0,0,1
1.46,78,1,1.71,0.38,679.62,4531,16.12,3.0,2021.0,5.0,2021.0,0,0,1
4.7,78,1,1.71,0.42,837.26,4531,16.07,3.0,2021.0,5.0,2021.0,0,0,1
1.08,78,1,1.71,0.45,837.26,4531,16.01,3.0,2021.0,5.0,2021.0,0,0,1
1.2,78,1,1.71,0.83,1116.05,179,14.98,3.0,2021.0,5.0,2021.0,0,0,1
0.85,78,1,1.71,0.56,837.26,4531,15.87,3.0,2021.0,5.0,2021.0,0,0,1
2.53,78,1,1.71,0.6,992.83,4531,15.82,3.0,2021.0,5.0,2021.0,0,0,1
5.27,78,1,1.71,0.62,679.62,4531,15.81,3.0,2021.0,5.0,2021.0,0,0,1
1.93,78,1,1.71,0.62,837.26,4531,15.78,3.0,2021.0,5.0,2021.0,0,0,1
2.21,78,1,1.71,0.44,837.26,4496,15.83,3.0,2021.0,5.0,2021.0,0,0,1
4.46,78,1,1.71,0.44,837.26,4531,16.04,3.0,2021.0,5.0,2021.0,0,0,1
2.62,78,1,1.71,0.57,679.62,4531,15.84,3.0,2021.0,5.0,2021.0,0,0,1
2.34,78,1,1.71,0.62,992.83,4496,15.65,3.0,2021.0,5.0,2021.0,0,0,1
2.61,78,1,1.71,0.66,992.83,4531,15.75,3.0,2021.0,5.0,2021.0,0,0,1
4.92,78,1,1.71,0.56,865.4,4535,15.89,3.0,2021.0,5.0,2021.0,0,0,1
1.85,78,1,1.71,0.56,865.4,4531,15.89,3.0,2021.0,5.0,2021.0,0,0,1
6.91,28,1,1.71,0.87,711.33,4326,15.09,3.0,2021.0,6.0,2021.0,0,0,1
5.01,28,1,1.71,0.81,874.77,4320,15.09,3.0,2021.0,6.0,2021.0,0,0,1
4.94,28,1,1.71,0.87,992.83,4320,15.09,3.0,2021.0,6.0,2021.0,0,0,1
0.65,78,1,1.71,0.78,1085.34,8083,15.03,3.0,2021.0,5.0,2021.0,0,0,1
5.07,28,1,1.71,0.72,837.26,4337,14.9,3.0,2021.0,6.0,2021.0,0,0,1
2.84,78,1,1.71,0.69,1023.73,8083,15.08,3.0,2021.0,5.0,2021.0,0,0,1
4.67,28,1,1.71,0.73,793.35,4337,14.87,3.0,2021.0,6.0,2021.0,0,0,1
5.62,28,1,1.71,0.83,837.26,4323,14.92,3.0,2021.0,6.0,2021.0,0,0,1
4.61,28,1,1.71,0.74,937.03,4324,14.93,3.0,2021.0,6.0,2021.0,0,0,1
5.95,28,1,1.71,0.74,974.26,4324,14.94,3.0,2021.0,6.0,2021.0,0,0,1
4.85,28,1,1.71,0.72,874.77,4337,14.88,3.0,2021.0,6.0,2021.0,0,0,1
4.18,32,1,2.25,0.39,818.46,2416,16.56,3.0,2021.0,4.0,2021.0,0,0,1
4.71,28,1,1.71,0.78,622.26,4332,15.2,3.0,2021.0,6.0,2021.0,0,0,1
4.63,28,1,1.71,0.78,1011.38,4332,15.15,3.0,2021.0,6.0,2021.0,0,0,1
4.76,28,1,1.71,0.81,1060.72,4332,15.15,3.0,2021.0,6.0,2021.0,0,0,1
2.63,28,1,1.71,0.83,930.82,4327,15.54,3.0,2021.0,6.0,2021.0,0,0,1
6.98,28,1,1.71,0.87,843.52,4327,15.06,3.0,2021.0,6.0,2021.0,0,0,1
5.71,28,1,1.71,0.87,999.01,4327,15.09,3.0,2021.0,6.0,2021.0,0,0,1
5.77,28,1,1.71,0.78,768.18,4328,15.14,3.0,2021.0,6.0,2021.0,0,0,1
6.41,28,1,1.71,0.9,899.71,4328,15.13,3.0,2021.0,6.0,2021.0,0,0,1
5.78,28,1,1.71,0.74,780.77,4329,15.23,3.0,2021.0,6.0,2021.0,0,0,1
5.56,28,1,1.71,0.87,837.26,4334,14.86,3.0,2021.0,6.0,2021.0,0,0,1
6.98,28,1,1.71,0.9,992.83,4334,14.84,3.0,2021.0,6.0,2021.0,0,0,1
5.74,28,1,1.71,0.81,992.83,4319,15.02,3.0,2021.0,6.0,2021.0,0,0,1
5.12,28,1,1.71,0.74,992.83,4335,14.98,3.0,2021.0,6.0,2021.0,0,0,1
2.7,32,1,2.25,0.39,780.77,1928,16.52,3.0,2021.0,4.0,2021.0,0,0,1
7.58,28,1,1.71,0.78,992.83,4335,14.96,3.0,2021.0,6.0,2021.0,0,0,1
5.26,28,1,1.71,0.83,992.83,4335,14.97,3.0,2021.0,6.0,2021.0,0,0,1
5.08,28,1,1.71,0.87,992.83,4335,14.96,3.0,2021.0,6.0,2021.0,0,0,1
6.2,28,1,1.71,0.9,992.83,4335,14.95,3.0,2021.0,6.0,2021.0,0,0,1
2.72,32,1,2.25,0.39,818.46,1262,16.54,3.0,2021.0,4.0,2021.0,0,0,1
5.71,28,1,1.71,0.78,992.83,7263,14.88,3.0,2021.0,6.0,2021.0,0,0,1
7.39,28,1,1.71,0.74,644.61,7270,14.71,3.0,2021.0,6.0,2021.0,0,0,1
5.02,28,1,1.71,0.81,1042.24,7258,14.98,3.0,2021.0,6.0,2021.0,0,0,1
5.12,28,1,1.71,0.83,992.83,7258,14.96,3.0,2021.0,6.0,2021.0,0,0,1
5.03,28,1,1.71,0.76,1042.24,4324,14.93,3.0,2021.0,6.0,2021.0,0,0,1
5.17,28,1,1.71,0.74,787.06,7259,15.07,3.0,2021.0,6.0,2021.0,0,0,1
6.55,28,1,1.71,0.83,1042.24,4320,15.09,3.0,2021.0,6.0,2021.0,0,0,1
4.91,28,1,1.71,0.88,615.86,4320,15.11,3.0,2021.0,6.0,2021.0,0,0,1
4.9,28,1,1.71,0.73,1005.2,4337,14.86,3.0,2021.0,6.0,2021.0,0,0,1
4.71,28,1,1.71,0.74,793.35,4337,14.84,3.0,2021.0,6.0,2021.0,0,0,1
5.64,28,1,1.71,0.69,992.83,7270,14.7,3.0,2021.0,6.0,2021.0,0,0,1
5.77,28,1,1.71,0.78,992.83,7262,14.75,3.0,2021.0,6.0,2021.0,0,0,1
5.91,28,1,1.71,0.87,698.66,7262,14.77,3.0,2021.0,6.0,2021.0,0,0,1
5.07,28,1,1.71,0.87,1085.34,7262,14.77,3.0,2021.0,6.0,2021.0,0,0,1
6.9,32,1,2.25,0.39,818.46,2779,16.55,3.0,2021.0,4.0,2021.0,0,0,1
4.84,28,1,1.71,0.86,881.01,7259,15.03,3.0,2021.0,6.0,2021.0,0,0,1
5.67,28,1,1.71,0.69,992.83,4329,15.24,3.0,2021.0,6.0,2021.0,0,0,1
0.19,32,1,2.25,0.39,818.46,2221,16.7,3.0,2021.0,4.0,2021.0,0,0,1
0.44,32,1,2.25,0.39,818.46,2196,16.56,3.0,2021.0,4.0,2021.0,0,0,1
0.75,32,1,2.25,0.39,818.46,1887,16.53,3.0,2021.0,4.0,2021.0,0,0,1
2.91,32,1,2.25,0.39,818.46,2088,16.54,3.0,2021.0,4.0,2021.0,0,0,1
1.22,32,1,2.25,0.39,818.46,603,16.89,3.0,2021.0,4.0,2021.0,0,0,1
5.13,78,1,2.25,0.38,837.26,4580,16.49,3.0,2021.0,7.0,2021.0,0,0,1
5.11,78,1,2.25,0.38,777.62,4650,16.81,3.0,2021.0,7.0,2021.0,0,0,1
3.78,28,1,1.71,0.78,679.62,7124,14.91,3.0,2021.0,7.0,2021.0,0,0,1
4.16,28,1,1.71,0.78,1177.3,7124,14.94,3.0,2021.0,7.0,2021.0,0,0,1
3.83,28,1,1.71,0.83,992.83,7124,14.94,3.0,2021.0,7.0,2021.0,0,0,1
3.89,28,1,1.71,0.87,992.83,7124,14.89,3.0,2021.0,7.0,2021.0,0,0,1
4.09,28,1,1.71,0.9,992.83,7124,14.93,3.0,2021.0,7.0,2021.0,0,0,1
3.55,28,1,1.71,0.9,1177.3,7124,14.9,3.0,2021.0,7.0,2021.0,0,0,1
7.16,28,1,1.71,0.78,992.83,7114,15.05,3.0,2021.0,7.0,2021.0,0,0,1
3.76,28,1,1.71,0.74,679.62,7114,15.13,3.0,2021.0,7.0,2021.0,0,0,1
3.68,28,1,1.71,0.74,837.26,7114,15.12,3.0,2021.0,7.0,2021.0,0,0,1
3.64,28,1,1.71,0.9,837.26,7125,15.12,3.0,2021.0,7.0,2021.0,0,0,1
3.69,28,1,1.71,0.9,992.83,7125,15.09,3.0,2021.0,7.0,2021.0,0,0,1
3.5,28,1,1.71,0.78,1177.3,7125,15.11,3.0,2021.0,7.0,2021.0,0,0,1
7.2,28,1,1.71,0.62,679.62,7124,15.09,3.0,2021.0,7.0,2021.0,0,0,1
6.17,28,1,1.71,0.69,679.62,7124,14.95,3.0,2021.0,7.0,2021.0,0,0,1
4.14,28,1,1.71,0.78,837.26,7124,14.92,3.0,2021.0,7.0,2021.0,0,0,1
3.61,28,1,1.71,0.78,992.83,7124,14.91,3.0,2021.0,7.0,2021.0,0,0,1
4.04,28,1,1.71,0.9,837.26,7124,14.93,3.0,2021.0,7.0,2021.0,0,0,1
3.6,28,1,1.71,0.83,679.62,7124,14.95,3.0,2021.0,7.0,2021.0,0,0,1
3.68,28,1,1.71,0.69,679.62,7114,15.14,3.0,2021.0,7.0,2021.0,0,0,1
3.91,28,1,1.71,0.69,837.26,7114,15.1,3.0,2021.0,7.0,2021.0,0,0,1
3.71,28,1,1.71,0.78,679.62,7114,15.11,3.0,2021.0,7.0,2021.0,0,0,1
4.0,28,1,1.71,0.78,679.62,7129,15.08,3.0,2021.0,7.0,2021.0,0,0,1
3.87,28,1,1.71,0.74,679.62,7129,15.08,3.0,2021.0,7.0,2021.0,0,0,1
3.46,28,1,1.71,0.78,992.83,7129,15.06,3.0,2021.0,7.0,2021.0,0,0,1
3.69,28,1,1.71,0.83,992.83,7114,15.07,3.0,2021.0,7.0,2021.0,0,0,1
3.67,28,1,1.71,0.78,992.83,7129,15.11,3.0,2021.0,7.0,2021.0,0,0,1
3.82,28,1,1.71,0.87,992.83,7114,15.07,3.0,2021.0,7.0,2021.0,0,0,1
3.74,28,1,1.71,0.87,837.26,7129,15.08,3.0,2021.0,7.0,2021.0,0,0,1
3.84,28,1,1.71,0.74,837.26,7114,15.09,3.0,2021.0,7.0,2021.0,0,0,1
3.6,28,1,1.71,0.87,992.83,7129,15.06,3.0,2021.0,7.0,2021.0,0,0,1
7.2,28,1,1.71,0.69,992.83,7124,14.92,3.0,2021.0,7.0,2021.0,0,0,1
4.02,28,1,1.71,0.9,837.26,7124,14.93,3.0,2021.0,7.0,2021.0,0,0,1
3.69,28,1,1.71,0.78,1177.3,7125,15.13,3.0,2021.0,7.0,2021.0,0,0,1
3.85,28,1,1.71,0.87,1177.3,7125,15.1,3.0,2021.0,7.0,2021.0,0,0,1
5.29,28,1,1.71,0.9,992.83,7125,15.11,3.0,2021.0,7.0,2021.0,0,0,1
3.95,28,1,1.71,0.69,837.26,7114,15.11,3.0,2021.0,7.0,2021.0,0,0,1
4.17,28,1,1.71,0.74,679.62,7114,15.09,3.0,2021.0,7.0,2021.0,0,0,1
5.46,28,1,1.71,0.74,837.26,7114,15.1,3.0,2021.0,7.0,2021.0,0,0,1
3.99,28,1,1.71,0.78,837.26,7114,15.07,3.0,2021.0,7.0,2021.0,0,0,1
3.46,28,1,1.71,0.83,992.83,7114,15.09,3.0,2021.0,7.0,2021.0,0,0,1
3.8,28,1,1.71,0.87,679.62,7114,15.08,3.0,2021.0,7.0,2021.0,0,0,1
5.45,28,1,1.71,0.87,837.26,7114,15.05,3.0,2021.0,7.0,2021.0,0,0,1
3.95,28,1,1.71,0.87,992.83,7114,15.07,3.0,2021.0,7.0,2021.0,0,0,1
3.53,28,1,1.71,0.83,837.26,7124,14.92,3.0,2021.0,7.0,2021.0,0,0,1
3.75,28,1,1.71,0.87,837.26,7124,14.89,3.0,2021.0,7.0,2021.0,0,0,1
4.03,28,1,1.71,0.9,837.26,7125,15.09,3.0,2021.0,7.0,2021.0,0,0,1
3.44,28,1,1.71,0.9,1177.3,7125,15.12,3.0,2021.0,7.0,2021.0,0,0,1
4.14,28,1,1.71,0.78,837.26,7129,15.06,3.0,2021.0,7.0,2021.0,0,0,1
3.53,28,1,1.71,0.9,992.83,7129,15.04,3.0,2021.0,7.0,2021.0,0,0,1
3.72,28,1,1.71,0.69,679.62,7114,15.1,3.0,2021.0,7.0,2021.0,0,0,1
6.72,28,1,1.71,0.9,992.83,7116,15.28,3.0,2021.0,7.0,2021.0,0,0,1
6.68,28,1,1.71,0.83,992.83,7116,15.27,3.0,2021.0,7.0,2021.0,0,0,1
6.81,28,1,1.71,0.78,992.83,7116,15.29,3.0,2021.0,7.0,2021.0,0,0,1
7.26,28,1,1.71,0.83,992.83,7116,15.24,3.0,2021.0,7.0,2021.0,0,0,1
6.8,28,1,1.71,0.87,992.83,7116,15.29,3.0,2021.0,7.0,2021.0,0,0,1
6.65,28,1,1.71,0.9,992.83,7116,15.28,3.0,2021.0,7.0,2021.0,0,0,1
3.53,27,1,1.71,0.78,912.16,3363,14.83,3.0,2021.0,3.0,2021.0,0,1,0
4.18,25,1,2.25,0.38,824.73,3604,16.21,3.0,2021.0,4.0,2021.0,0,0,1
7.37,25,1,2.26,0.56,894.73,7983,15.97,3.0,2021.0,7.0,2021.0,0,0,1
2.3,32,1,2.25,0.43,818.46,1914,16.89,3.0,2021.0,4.0,2021.0,0,0,1
2.01,32,1,2.25,0.43,818.46,1931,16.66,3.0,2021.0,4.0,2021.0,0,0,1
