quantity tons,country,status,application,thickness,width,material_ref,selling_price,purchased_month,purchased_year,delivered_month,delivered_year,item_type_PL,item_type_S,item_type_W
2.67,25,1,2.1,0.74,789.57,6029,16.11,4.0,2021.0,7.0,2021.0,0,0,1
0.94,25,1,2.1,0.66,685.97,6028,16.22,4.0,2021.0,7.0,2021.0,0,0,1
0.73,25,1,2.1,0.83,771.96,6027,16.06,4.0,2021.0,7.0,2021.0,0,0,1
6.95,28,1,1.71,0.38,837.26,7631,16.97,4.0,2021.0,8.0,2021.0,0,0,1
6.1,32,1,2.26,0.37,912.16,2106,17.37,4.0,2021.0,7.0,2021.0,0,0,1
5.95,32,1,2.26,0.37,769.44,2107,17.36,4.0,2021.0,7.0,2021.0,0,0,1
6.03,32,1,2.26,0.37,824.73,2107,17.38,4.0,2021.0,7.0,2021.0,0,0,1
7.1,32,0,2.0,0.51,687.87,2275,17.38,4.0,2021.0,7.0,2021.0,0,0,1
7.02,32,0,2.0,0.63,615.86,2275,17.29,4.0,2021.0,7.0,2021.0,0,0,1
7.02,32,0,2.0,0.45,992.83,2275,17.42,4.0,2021.0,7.0,2021.0,0,0,1
3.63,32,1,2.4,0.78,899.71,140,16.33,4.0,2021.0,7.0,2021.0,0,0,1
3.33,32,1,2.4,0.83,837.26,7402,15.82,4.0,2021.0,7.0,2021.0,0,0,1
2.61,32,1,2.4,0.78,868.52,151,16.37,4.0,2021.0,7.0,2021.0,0,0,1
2.68,32,1,2.4,0.69,837.26,141,16.39,4.0,2021.0,7.0,2021.0,0,0,1
2.98,32,1,2.4,0.78,837.26,143,16.37,4.0,2021.0,7.0,2021.0,0,0,1
2.68,32,1,2.4,0.74,837.26,142,16.35,4.0,2021.0,7.0,2021.0,0,0,1
3.37,32,1,2.4,0.81,837.26,144,16.34,4.0,2021.0,7.0,2021.0,0,0,1
3.32,32,1,2.4,0.81,837.26,144,16.35,4.0,2021.0,7.0,2021.0,0,0,1
3.43,32,1,2.4,0.74,868.52,150,16.44,4.0,2021.0,7.0,2021.0,0,0,1
3.69,32,1,2.4,0.83,992.83,146,16.35,4.0,2021.0,7.0,2021.0,0,0,1
2.75,32,1,2.4,0.83,992.83,146,16.34,4.0,2021.0,7.0,2021.0,0,0,1
3.31,32,1,2.4,0.83,837.26,145,16.35,4.0,2021.0,7.0,2021.0,0,0,1
2.63,32,1,2.4,0.87,992.83,147,16.3,4.0,2021.0,7.0,2021.0,0,0,1
3.04,32,1,2.4,0.9,992.83,148,16.3,4.0,2021.0,7.0,2021.0,0,0,1
3.65,32,1,2.4,0.91,992.83,149,16.32,4.0,2021.0,7.0,2021.0,0,0,1
1.8,78,1,1.71,0.75,812.18,8631,15.89,4.0,2021.0,7.0,2021.0,0,0,1
1.78,78,1,1.71,0.78,843.52,9204,15.93,4.0,2021.0,7.0,2021.0,0,0,1
2.21,78,1,1.71,0.69,837.26,7483,15.76,4.0,2021.0,7.0,2021.0,0,0,1
1.61,78,1,1.71,0.69,679.62,7483,15.76,4.0,2021.0,7.0,2021.0,0,0,1
2.0,78,1,1.71,0.69,837.26,7489,15.82,4.0,2021.0,7.0,2021.0,0,0,1
2.82,78,1,1.71,0.69,679.62,7489,15.79,4.0,2021.0,7.0,2021.0,0,0,1
3.07,78,1,1.71,0.78,679.62,4260,15.75,4.0,2021.0,7.0,2021.0,0,0,1
2.18,78,1,1.71,0.78,852.9,4260,15.74,4.0,2021.0,7.0,2021.0,0,0,1
1.77,78,1,1.71,0.78,755.57,4260,15.75,4.0,2021.0,7.0,2021.0,0,0,1
2.32,78,1,1.71,0.74,992.83,4260,15.77,4.0,2021.0,7.0,2021.0,0,0,1
3.05,78,1,1.71,0.74,679.62,4260,15.77,4.0,2021.0,7.0,2021.0,0,0,1
2.78,78,1,1.71,0.69,838.51,7483,15.75,4.0,2021.0,7.0,2021.0,0,0,1
3.13,78,1,1.71,0.74,765.03,7489,15.78,4.0,2021.0,7.0,2021.0,0,0,1
2.41,32,1,1.71,0.69,837.26,4704,16.28,4.0,2021.0,9.0,2021.0,0,0,1
2.55,32,1,1.71,0.78,837.26,4704,16.29,4.0,2021.0,9.0,2021.0,0,0,1
0.65,32,1,1.71,0.51,868.52,4704,16.36,4.0,2021.0,9.0,2021.0,0,0,1
2.21,32,1,1.71,0.78,679.62,4704,16.3,4.0,2021.0,9.0,2021.0,0,0,1
6.63,32,1,1.71,0.62,992.83,4704,16.33,4.0,2021.0,9.0,2021.0,0,0,1
2.05,78,1,2.25,0.69,837.26,8361,15.53,4.0,2021.0,6.0,2021.0,0,0,1
6.94,78,1,1.71,0.62,837.26,7976,16.42,4.0,2021.0,7.0,2021.0,0,1,0
4.45,32,1,2.26,0.48,708.17,1093,16.21,3.0,2021.0,7.0,2021.0,0,0,0
4.08,32,1,2.26,0.62,744.21,1405,15.94,3.0,2021.0,7.0,2021.0,0,0,0
7.85,27,1,1.71,0.62,992.83,3227,15.33,3.0,2021.0,5.0,2021.0,1,0,0
7.88,27,1,1.71,0.54,830.99,3230,15.71,3.0,2021.0,5.0,2021.0,1,0,0
1.85,27,1,1.71,0.34,837.26,3247,15.69,3.0,2021.0,5.0,2021.0,1,0,0
2.54,27,1,1.71,0.62,992.83,3227,15.41,3.0,2021.0,6.0,2021.0,1,0,0
2.39,27,1,1.71,0.45,914.03,3249,16.2,3.0,2021.0,5.0,2021.0,1,0,0
5.73,27,1,1.71,0.51,837.26,3248,15.65,3.0,2021.0,5.0,2021.0,1,0,0
4.37,27,1,1.71,0.55,857.9,3244,16.13,3.0,2021.0,5.0,2021.0,1,0,0
4.38,27,1,1.71,0.54,830.99,3230,15.83,3.0,2021.0,6.0,2021.0,1,0,0
2.81,27,1,1.71,0.45,914.03,3249,16.16,3.0,2021.0,5.0,2021.0,1,0,0
7.03,27,1,1.71,0.34,837.26,3247,15.75,3.0,2021.0,6.0,2021.0,1,0,0
6.06,27,1,1.71,0.62,758.72,3347,15.36,3.0,2021.0,5.0,2021.0,1,0,0
2.07,27,1,1.71,0.55,857.9,3244,16.15,3.0,2021.0,5.0,2021.0,1,0,0
6.11,27,1,1.71,0.74,992.83,3348,15.24,3.0,2021.0,5.0,2021.0,1,0,0
2.19,27,1,1.71,0.78,992.83,3349,15.54,3.0,2021.0,5.0,2021.0,1,0,0
1.46,27,1,1.71,0.45,914.03,3249,16.2,3.0,2021.0,6.0,2021.0,1,0,0
2.15,27,1,1.71,0.55,857.9,3244,16.17,3.0,2021.0,6.0,2021.0,1,0,0
3.85,27,1,2.36,0.56,679.62,5784,16.01,3.0,2021.0,7.0,2021.0,0,0,1
6.82,27,1,2.36,0.61,699.93,5921,15.82,3.0,2021.0,7.0,2021.0,0,0,1
7.59,27,1,2.36,0.61,735.37,5929,15.87,3.0,2021.0,7.0,2021.0,0,0,1
7.02,78,1,2.12,0.57,819.71,7688,15.15,3.0,2021.0,4.0,2021.0,0,1,0
6.29,27,1,2.36,0.68,843.52,5930,15.8,3.0,2021.0,7.0,2021.0,0,0,1
4.8,27,1,2.36,0.76,653.53,5746,15.51,3.0,2021.0,7.0,2021.0,0,0,1
6.5,27,1,2.36,0.62,723.99,5945,15.62,3.0,2021.0,7.0,2021.0,0,0,1
7.0,78,1,2.12,0.53,629.93,7405,15.27,3.0,2021.0,4.0,2021.0,0,1,0
5.45,27,1,2.36,0.62,856.03,5765,15.99,3.0,2021.0,7.0,2021.0,0,0,1
6.07,27,1,2.36,0.76,877.89,6031,15.9,3.0,2021.0,7.0,2021.0,0,0,1
6.09,27,1,2.36,0.8,871.64,6032,15.89,3.0,2021.0,7.0,2021.0,0,0,1
4.61,27,1,2.36,0.69,782.03,5926,15.65,3.0,2021.0,7.0,2021.0,0,0,1
5.79,27,1,2.36,0.7,937.03,5940,15.45,3.0,2021.0,7.0,2021.0,0,0,1
6.91,27,1,2.36,0.84,837.26,6010,15.66,3.0,2021.0,7.0,2021.0,0,0,1
6.83,27,1,2.36,0.86,805.91,5987,15.47,3.0,2021.0,7.0,2021.0,0,0,1
6.05,27,1,2.36,0.78,802.14,5844,15.47,3.0,2021.0,7.0,2021.0,0,0,1
6.45,27,1,2.36,0.87,846.64,5988,15.47,3.0,2021.0,7.0,2021.0,0,0,1
4.91,27,1,2.36,0.82,840.39,5943,15.44,3.0,2021.0,7.0,2021.0,0,0,1
6.42,27,1,2.36,0.86,995.92,5847,15.42,3.0,2021.0,7.0,2021.0,0,0,1
6.77,27,1,2.36,0.63,834.13,5748,15.69,3.0,2021.0,7.0,2021.0,0,0,1
7.05,78,1,2.12,0.29,615.86,3038,15.42,3.0,2021.0,4.0,2021.0,0,1,0
6.41,27,1,2.36,0.63,837.26,5982,15.54,3.0,2021.0,7.0,2021.0,0,0,1
6.98,27,1,2.36,0.87,924.61,5931,15.7,3.0,2021.0,7.0,2021.0,0,0,1
6.43,78,1,2.12,0.38,822.22,7883,15.18,3.0,2021.0,4.0,2021.0,0,1,0
4.7,27,1,2.36,0.67,818.46,5820,15.43,3.0,2021.0,7.0,2021.0,0,0,1
6.35,27,1,2.36,0.78,802.77,5984,15.45,3.0,2021.0,7.0,2021.0,0,0,1
6.41,78,1,2.12,0.38,849.77,7885,15.28,3.0,2021.0,4.0,2021.0,0,1,0
7.83,27,1,2.36,0.62,805.91,5990,15.64,3.0,2021.0,7.0,2021.0,0,0,1
6.29,27,1,2.36,0.65,818.46,5992,15.66,3.0,2021.0,7.0,2021.0,0,0,1
7.69,27,1,2.36,0.73,963.72,5740,15.38,3.0,2021.0,7.0,2021.0,0,0,1
6.45,27,1,2.36,0.77,846.64,5994,15.6,3.0,2021.0,7.0,2021.0,0,0,1
7.59,27,1,2.36,0.78,877.89,5996,15.57,3.0,2021.0,7.0,2021.0,0,0,1
6.29,27,1,2.36,0.74,780.77,5743,15.39,3.0,2021.0,7.0,2021.0,0,0,1
7.26,27,1,2.36,0.8,859.15,5998,15.57,3.0,2021.0,7.0,2021.0,0,0,1
6.26,27,1,2.36,0.69,780.77,6001,15.68,3.0,2021.0,7.0,2021.0,0,0,1
5.8,27,1,2.36,0.74,884.13,6003,15.69,3.0,2021.0,7.0,2021.0,0,0,1
4.54,78,1,2.12,0.38,859.78,7887,15.17,3.0,2021.0,4.0,2021.0,0,1,0
6.42,27,1,2.36,0.77,837.26,6004,15.65,3.0,2021.0,7.0,2021.0,0,0,1
2.6,27,1,2.36,0.82,837.26,5852,15.44,3.0,2021.0,7.0,2021.0,0,0,1
6.29,27,1,2.36,0.82,783.91,5732,15.62,3.0,2021.0,7.0,2021.0,0,0,1
4.47,78,1,2.12,0.38,867.27,7889,15.18,3.0,2021.0,4.0,2021.0,0,1,0
3.24,27,1,2.36,0.82,992.83,5853,15.4,3.0,2021.0,7.0,2021.0,0,0,1
6.77,27,1,2.36,0.75,846.64,5728,15.74,3.0,2021.0,7.0,2021.0,0,0,1
7.82,27,1,2.36,0.86,837.26,5854,15.42,3.0,2021.0,7.0,2021.0,0,0,1
7.29,27,1,2.36,0.82,852.9,5999,15.59,3.0,2021.0,7.0,2021.0,0,0,1
5.52,78,1,2.12,0.57,565.81,7684,15.21,3.0,2021.0,4.0,2021.0,0,1,0
7.79,27,1,2.36,0.86,930.82,5856,15.42,3.0,2021.0,7.0,2021.0,0,0,1
7.77,27,1,2.36,0.89,791.46,5858,15.42,3.0,2021.0,7.0,2021.0,0,0,1
7.35,27,1,2.36,0.81,799.63,5963,15.63,3.0,2021.0,7.0,2021.0,0,0,1
7.68,27,1,2.36,0.83,799.63,5964,15.61,3.0,2021.0,7.0,2021.0,0,0,1
7.68,27,1,2.36,0.89,896.59,5859,15.42,3.0,2021.0,7.0,2021.0,0,0,1
7.59,27,1,2.36,0.51,846.64,4200,15.92,3.0,2021.0,7.0,2021.0,0,0,1
7.76,27,1,2.36,0.89,930.82,5860,15.42,3.0,2021.0,7.0,2021.0,0,0,1
7.64,27,1,2.36,0.57,830.99,7803,15.92,3.0,2021.0,7.0,2021.0,0,0,1
7.62,27,1,2.36,0.58,818.46,7804,15.9,3.0,2021.0,7.0,2021.0,0,0,1
5.88,27,1,2.36,0.58,818.46,8106,15.94,3.0,2021.0,7.0,2021.0,0,0,1
5.47,27,1,2.36,0.44,830.99,4196,15.94,3.0,2021.0,7.0,2021.0,0,0,1
7.27,27,1,2.36,0.51,755.57,4199,15.91,3.0,2021.0,7.0,2021.0,0,0,1
5.46,27,1,2.36,0.63,736.63,4671,16.07,3.0,2021.0,7.0,2021.0,0,0,1
7.62,27,1,2.36,0.69,783.91,4673,16.01,3.0,2021.0,7.0,2021.0,0,0,1
4.49,27,1,2.36,0.57,837.26,5661,16.09,3.0,2021.0,7.0,2021.0,0,0,1
5.84,84,0,1.71,0.62,992.83,4555,16.65,3.0,2021.0,7.0,2021.0,0,1,0
4.42,27,1,2.36,0.56,693.58,5666,16.21,3.0,2021.0,7.0,2021.0,0,0,1
5.07,27,1,2.36,0.5,770.7,4625,16.38,3.0,2021.0,7.0,2021.0,0,0,1
7.68,113,1,2.25,0.34,837.26,5575,16.75,3.0,2021.0,4.0,2021.0,0,1,0
4.92,25,1,2.25,0.81,809.05,1272,16.48,3.0,2021.0,7.0,2021.0,0,0,1
4.36,26,1,2.04,0.66,848.52,3212,16.42,3.0,2021.0,9.0,2021.0,0,1,0
7.48,28,0,1.71,0.78,679.62,4284,15.82,3.0,2021.0,9.0,2021.0,0,0,1
7.4,28,0,1.71,0.9,679.62,4284,15.79,3.0,2021.0,9.0,2021.0,0,0,1
7.35,28,0,1.71,0.9,837.26,4284,15.8,3.0,2021.0,9.0,2021.0,0,0,1
7.5,28,0,1.71,0.9,992.83,4284,15.81,3.0,2021.0,9.0,2021.0,0,0,1
7.46,28,0,1.71,0.87,992.83,4284,15.78,3.0,2021.0,9.0,2021.0,0,0,1
7.36,28,0,1.71,0.87,837.26,4284,15.8,3.0,2021.0,9.0,2021.0,0,0,1
7.79,32,0,1.71,0.69,992.83,4563,16.43,3.0,2021.0,9.0,2021.0,0,1,0
7.38,28,0,1.71,0.83,837.26,4284,15.77,3.0,2021.0,9.0,2021.0,0,0,1
7.5,28,0,1.71,0.83,992.83,4284,15.76,3.0,2021.0,9.0,2021.0,0,0,1
7.44,28,0,1.71,0.78,992.83,4284,15.8,3.0,2021.0,9.0,2021.0,0,0,1
7.46,28,0,1.71,0.78,837.26,4284,15.78,3.0,2021.0,9.0,2021.0,0,0,1
7.49,28,0,1.71,0.62,837.26,4284,15.97,3.0,2021.0,9.0,2021.0,0,0,1
7.46,28,0,1.71,0.62,679.62,4284,15.97,3.0,2021.0,9.0,2021.0,0,0,1
7.34,28,0,1.71,0.83,679.62,4284,15.79,3.0,2021.0,9.0,2021.0,0,0,1
7.47,28,0,1.71,0.87,679.62,4284,15.78,3.0,2021.0,9.0,2021.0,0,0,1
2.65,32,1,1.71,0.45,992.83,7945,17.34,3.0,2021.0,10.0,2021.0,0,0,1
2.27,32,1,1.71,0.45,992.83,7945,17.26,3.0,2021.0,10.0,2021.0,0,0,1
4.87,32,1,1.71,0.62,992.83,7945,17.04,3.0,2021.0,10.0,2021.0,0,0,1
5.93,27,1,2.36,0.58,809.05,6071,16.72,3.0,2021.0,7.0,2021.0,0,0,1
4.36,27,1,2.36,0.61,649.07,6072,16.74,3.0,2021.0,7.0,2021.0,0,0,1
5.84,27,1,2.36,0.68,766.92,6073,16.68,3.0,2021.0,7.0,2021.0,0,0,1
7.87,27,1,2.25,0.49,837.26,8271,16.75,3.0,2021.0,8.0,2021.0,0,1,0
7.05,27,1,2.25,0.43,837.26,8271,16.88,3.0,2021.0,8.0,2021.0,0,1,0
7.76,28,1,2.36,0.62,843.52,6393,15.45,3.0,2021.0,7.0,2021.0,0,1,0
3.17,28,1,2.25,0.29,837.26,241,17.06,3.0,2021.0,7.0,2021.0,0,0,1
4.87,28,1,2.25,0.3,717.66,241,17.04,3.0,2021.0,7.0,2021.0,0,0,1
5.83,28,1,2.25,0.3,717.66,244,17.03,3.0,2021.0,7.0,2021.0,0,0,1
2.83,28,1,2.25,0.3,717.66,244,17.05,3.0,2021.0,7.0,2021.0,0,0,1
7.74,28,1,2.25,0.3,717.66,252,17.04,3.0,2021.0,7.0,2021.0,0,0,1
3.61,28,1,2.25,0.3,717.66,241,17.03,3.0,2021.0,7.0,2021.0,0,0,1
2.7,28,1,2.25,0.3,733.47,252,17.05,3.0,2021.0,7.0,2021.0,0,0,1
4.5,28,1,2.25,0.3,742.95,242,17.01,3.0,2021.0,7.0,2021.0,0,0,1
6.48,28,1,2.25,0.3,742.95,246,17.01,3.0,2021.0,7.0,2021.0,0,0,1
3.25,28,1,2.25,0.3,742.95,251,16.99,3.0,2021.0,7.0,2021.0,0,0,1
3.45,28,1,2.25,0.3,742.95,251,17.03,3.0,2021.0,7.0,2021.0,0,0,1
3.18,28,1,2.25,0.3,774.47,245,17.01,3.0,2021.0,7.0,2021.0,0,0,1
3.1,28,1,2.25,0.3,837.26,328,17.01,3.0,2021.0,7.0,2021.0,0,0,1
3.25,28,1,2.25,0.3,837.26,248,17.01,3.0,2021.0,7.0,2021.0,0,0,1
2.32,28,1,2.25,0.3,837.26,255,17.02,3.0,2021.0,7.0,2021.0,0,0,1
2.68,28,1,2.25,0.3,837.26,256,17.01,3.0,2021.0,7.0,2021.0,0,0,1
3.18,28,1,2.25,0.3,837.26,240,17.03,3.0,2021.0,7.0,2021.0,0,0,1
6.6,28,1,2.25,0.3,837.26,243,17.0,3.0,2021.0,7.0,2021.0,0,0,1
2.84,28,1,2.25,0.3,837.26,256,16.99,3.0,2021.0,7.0,2021.0,0,0,1
2.53,28,1,2.25,0.3,837.26,248,17.03,3.0,2021.0,7.0,2021.0,0,0,1
4.74,28,1,2.25,0.3,837.26,328,17.02,3.0,2021.0,7.0,2021.0,0,0,1
2.47,28,1,2.25,0.3,837.26,255,17.0,3.0,2021.0,7.0,2021.0,0,0,1
2.46,28,1,2.25,0.31,720.83,419,17.0,3.0,2021.0,7.0,2021.0,0,0,1
4.4,28,1,2.25,0.31,720.83,419,17.01,3.0,2021.0,7.0,2021.0,0,0,1
2.61,28,1,2.25,0.31,837.26,274,16.95,3.0,2021.0,7.0,2021.0,0,0,1
3.51,28,1,2.25,0.31,837.26,274,17.39,3.0,2021.0,7.0,2021.0,0,0,1
3.07,28,1,2.25,0.36,837.26,274,16.88,3.0,2021.0,7.0,2021.0,0,0,1
3.29,28,1,2.25,0.36,837.26,274,16.85,3.0,2021.0,7.0,2021.0,0,0,1
3.21,28,1,2.25,0.4,837.26,274,17.34,3.0,2021.0,7.0,2021.0,0,0,1
2.42,28,1,2.25,0.4,742.95,274,17.33,3.0,2021.0,7.0,2021.0,0,0,1
2.65,28,1,2.25,0.31,837.26,279,17.28,3.0,2021.0,7.0,2021.0,0,0,1
2.53,28,1,2.25,0.31,837.26,279,17.28,3.0,2021.0,7.0,2021.0,0,0,1
3.56,28,1,2.25,0.31,837.26,275,17.27,3.0,2021.0,7.0,2021.0,0,0,1
2.7,28,1,2.25,0.31,837.26,275,17.27,3.0,2021.0,7.0,2021.0,0,0,1
2.65,28,1,2.25,0.31,837.26,281,17.1,3.0,2021.0,7.0,2021.0,0,0,1
3.43,28,1,2.25,0.31,837.26,421,16.97,3.0,2021.0,7.0,2021.0,0,0,1
6.87,28,1,2.25,0.31,837.26,274,16.96,3.0,2021.0,7.0,2021.0,0,0,1
6.88,28,1,2.25,0.31,837.26,315,16.95,3.0,2021.0,7.0,2021.0,0,0,1
3.07,28,1,2.25,0.33,837.26,282,16.92,3.0,2021.0,7.0,2021.0,0,0,1
2.9,28,1,2.25,0.33,837.26,282,16.91,3.0,2021.0,7.0,2021.0,0,0,1
3.0,28,1,2.25,0.36,717.66,312,17.02,3.0,2021.0,7.0,2021.0,0,0,1
2.88,28,1,2.25,0.36,717.66,318,16.81,3.0,2021.0,7.0,2021.0,0,0,1
2.93,28,1,2.25,0.36,717.66,311,16.81,3.0,2021.0,7.0,2021.0,0,0,1
3.46,28,1,2.25,0.36,717.66,311,16.78,3.0,2021.0,7.0,2021.0,0,0,1
7.06,28,1,2.25,0.36,717.66,318,16.79,3.0,2021.0,7.0,2021.0,0,0,1
2.67,28,1,2.25,0.36,720.83,419,16.81,3.0,2021.0,7.0,2021.0,0,0,1
4.49,28,1,2.25,0.36,720.83,419,16.79,3.0,2021.0,7.0,2021.0,0,0,1
3.39,28,1,2.25,0.36,742.95,323,16.78,3.0,2021.0,7.0,2021.0,0,0,1
2.62,28,1,2.25,0.36,742.95,330,16.75,3.0,2021.0,7.0,2021.0,0,0,1
3.09,28,1,2.25,0.36,742.95,319,16.77,3.0,2021.0,7.0,2021.0,0,0,1
3.39,28,1,2.25,0.36,742.95,332,16.78,3.0,2021.0,7.0,2021.0,0,0,1
2.84,28,1,2.25,0.36,742.95,333,16.8,3.0,2021.0,7.0,2021.0,0,0,1
2.85,28,1,2.25,0.36,742.95,333,16.79,3.0,2021.0,7.0,2021.0,0,0,1
2.91,28,1,2.25,0.36,742.95,332,16.75,3.0,2021.0,7.0,2021.0,0,0,1
